table;index;english;translation
actions;name;Actions;Comportamiento
actions;0;Abandon;Abandonar
actions;1;Accompany;Acompañar
actions;2;Activate;Activar
actions;3;Agree;Aceptar
actions;4;Ambush;Emboscada
actions;5;Arrive;Llegar
actions;6;Assist;Asistir
actions;7;Attack;Ataque
actions;8;Attain;Alcanzar
actions;9;Bargain;Negociar
actions;10;Befriend;Ofrecer amistad
actions;11;Bestow;Otorgar
actions;12;Betray;Traicionar
actions;13;Block;Bloquear
actions;14;Break;Romper
actions;15;Carry;Llevar
actions;16;Celebrate;Celebrar
actions;17;Change;Cambiar
actions;18;Close;Cerca
actions;19;Combine;Combinar
actions;20;Communicate;Comunicar
actions;21;Conceal;Encubrir
actions;22;Continue;Continuar
actions;23;Control;Control
actions;24;Create;Crear
actions;25;Deceive;Engañar
actions;26;Decrease;Disminuir
actions;27;Defend;Defender
actions;28;Delay;Demora
actions;29;Deny;Denegar
actions;30;Depart;Salir
actions;31;Deposit;Depósito
actions;32;Destroy;Destruir
actions;33;Dispute;Disputar
actions;34;Disrupt;Interrumpir
actions;35;Distrust;Desconfianza
actions;36;Divide;Dividir
actions;37;Drop;Gota
actions;38;Easy;Fácil
actions;39;Energize;Energizar
actions;40;Escape;Escapar
actions;41;Expose;Exponer
actions;42;Fail;Fallar
actions;43;Fight;Luchar
actions;44;Flee;Huir
actions;45;Free;Gratis
actions;46;Guide;Guía
actions;47;Harm;Dañar
actions;48;Heal;Sanar
actions;49;Hinder;Impedir
actions;50;Imitate;Imitar
actions;51;Imprison;Encarcelar
actions;52;Increase;Aumentar
actions;53;Indulge;Complacer
actions;54;Inform;Informar
actions;55;Inquire;Preguntar
actions;56;Inspect;Inspeccionar
actions;57;Invade;Invadir
actions;58;Leave;Dejar
actions;59;Lure;Señuelo
actions;60;Misuse;Mal uso
actions;61;Move;Mover
actions;62;Neglect;Descuido
actions;63;Observe;Observar
actions;64;Open;Abierto
actions;65;Oppose;Oponerse a
actions;66;Overthrow;Derrocamiento
actions;67;Praise;Elogio
actions;68;Proceed;Proceder
actions;69;Protect;Proteger
actions;70;Punish;Castigar
actions;71;Pursue;Buscar
actions;72;Recruit;Recluta
actions;73;Refuse;Rechazar
actions;74;Release;Liberar
actions;75;Relinquish;Renunciar
actions;76;Repair;Reparar
actions;77;Repulse;Rechazar
actions;78;Return;Devolver
actions;79;Reward;Premio
actions;80;Ruin;Ruina
actions;81;Separate;Separado
actions;82;Start;Comenzar
actions;83;Stop;Detener
actions;84;Strange;Extraño
actions;85;Struggle;Lucha
actions;86;Succeed;Tener éxito
actions;87;Support;Apoyo
actions;88;Suppress;Reprimir
actions;89;Take;Llevar
actions;90;Threaten;Amenazar
actions;91;Transform;Transformar
actions;92;Trap;Trampa
actions;93;Travel;Viajar
actions;94;Triumph;Triunfo
actions;95;Truce;Tregua
actions;96;Trust;Confianza
actions;97;Use;Usar
actions;98;Usurp;Usurpar
actions;99;Waste;Desperdiciar
actions.entries2;0;Advantage;Ventaja
actions.entries2;1;Adversity;Adversidad
actions.entries2;2;Agreement;Acuerdo
actions.entries2;3;Animal;Animal
actions.entries2;4;Attention;Atención
actions.entries2;5;Balance;Balance
actions.entries2;6;Battle;Batalla
actions.entries2;7;Benefits;Beneficios
actions.entries2;8;Building;Edificio
actions.entries2;9;Burden;Carga
actions.entries2;10;Bureaucracy;Burocracia
actions.entries2;11;Business;Negocio
actions.entries2;12;Chaos;Caos
actions.entries2;13;Comfort;Comodidad
actions.entries2;14;Completion;Terminación
actions.entries2;15;Conflict;Conflicto
actions.entries2;16;Cooperation;Cooperación
actions.entries2;17;Danger;Peligro
actions.entries2;18;Defense;Defensa
actions.entries2;19;Depletion;Agotamiento
actions.entries2;20;Disadvantage;Desventaja
actions.entries2;21;Distraction;Distracción
actions.entries2;22;Elements;Elementos
actions.entries2;23;Emotion;Emoción
actions.entries2;24;Enemy;Enemigo
actions.entries2;25;Energy;Energía
actions.entries2;26;Environment;Ambiente
actions.entries2;27;Expectation;Expectativa
actions.entries2;28;Exterior;Exterior
actions.entries2;29;Extravagance;Extravagancia
actions.entries2;30;Failure;Falla
actions.entries2;31;Fame;Fama
actions.entries2;32;Fear;Miedo
actions.entries2;33;Freedom;Libertad
actions.entries2;34;Friend;Amigo
actions.entries2;35;Goal;Meta
actions.entries2;36;Group;Grupo
actions.entries2;37;Health;Salud
actions.entries2;38;Hindrance;Obstáculo
actions.entries2;39;Home;Hogar
actions.entries2;40;Hope;Esperanza
actions.entries2;41;Idea;Idea
actions.entries2;42;Illness;Enfermedad
actions.entries2;43;Illusion;Espejismo
actions.entries2;44;Individual;Individual
actions.entries2;45;Information;Información
actions.entries2;46;Innocent;Inocente
actions.entries2;47;Intellect;Intelecto
actions.entries2;48;Interior;Interior
actions.entries2;49;Investment;Inversión
actions.entries2;50;Leadership;Liderazgo
actions.entries2;51;Legal;Legal
actions.entries2;52;Location;Ubicación
actions.entries2;53;Military;Militar
actions.entries2;54;Misfortune;Desgracia
actions.entries2;55;Mundane;Mundano
actions.entries2;56;Nature;Naturaleza
actions.entries2;57;Needs;Necesidades
actions.entries2;58;News;Noticias
actions.entries2;59;Normal;Normal
actions.entries2;60;Object;Objeto
actions.entries2;61;Obscurity;Oscuridad
actions.entries2;62;Official;Oficial
actions.entries2;63;Opposition;Oposición
actions.entries2;64;Outside;Afuera
actions.entries2;65;Pain;Dolor
actions.entries2;66;Path;Camino
actions.entries2;67;Peace;Paz
actions.entries2;68;People;Gente
actions.entries2;69;Personal;Personal
actions.entries2;70;Physical;Físico
actions.entries2;71;Plot;Trama
actions.entries2;72;Portal;Portal
actions.entries2;73;Possessions;Posesiones
actions.entries2;74;Poverty;Pobreza
actions.entries2;75;Power;Fuerza
actions.entries2;76;Prison;Prisión
actions.entries2;77;Project;Proyecto
actions.entries2;78;Protection;Proteccion
actions.entries2;79;Reassurance;Seguridades
actions.entries2;80;Representative;Representante
actions.entries2;81;Riches;Riqueza
actions.entries2;82;Safety;Seguridad
actions.entries2;83;Strength;Fortaleza
actions.entries2;84;Success;Éxito
actions.entries2;85;Suffering;Sufrimiento
actions.entries2;86;Surprise;Sorpresa
actions.entries2;87;Tactic;Táctica
actions.entries2;88;Technology;Tecnología
actions.entries2;89;Tension;Tensión
actions.entries2;90;Time;Tiempo
actions.entries2;91;Trial;Ensayo
actions.entries2;92;Value;Valor
actions.entries2;93;Vehicle;Vehículo
actions.entries2;94;Victory;Victoria
actions.entries2;95;Vulnerability;Vulnerabilidad
actions.entries2;96;Weapon;Arma
actions.entries2;97;Weather;Clima
actions.entries2;98;Work;Trabajar
actions.entries2;99;Wound;Herida
army_descriptors;name;Army descriptors;Descriptores del ejército
army_descriptors;0;Active;Activo
army_descriptors;1;Aggressive;Agresivo
army_descriptors;2;Allies;Aliados
army_descriptors;3;Ambush;Emboscada
army_descriptors;4;Animals;animales
army_descriptors;5;Arrive;Llegar
army_descriptors;6;Assist;Asistir
army_descriptors;7;Average;Promedio
army_descriptors;8;Betray;Traicionar
army_descriptors;9;Bizarre;Extraño
army_descriptors;10;Block;Bloquear
army_descriptors;11;Bold;Atrevido
army_descriptors;12;Calm;Calma
army_descriptors;13;Careless;Descuidado
army_descriptors;14;Cautious;Precavido
army_descriptors;15;Ceaseless;Incesante
army_descriptors;16;Celebrate;Celebrar
army_descriptors;17;Colorful;Vistoso
army_descriptors;18;Communicate;Comunicar
army_descriptors;19;Creepy;Espeluznante
army_descriptors;20;Deceive;Engañar
army_descriptors;21;Defensive;Defensivo
army_descriptors;22;Defiant;Desafiante
army_descriptors;23;Delay;Demora
army_descriptors;24;Disorganized;Desestructurado
army_descriptors;25;Divide;Dividir
army_descriptors;26;Efficient;Eficiente
army_descriptors;27;Enemies;Enemigos
army_descriptors;28;Energy;Energía
army_descriptors;29;Failure;Falla
army_descriptors;30;Ferocious;Feroz
army_descriptors;31;Fight;Luchar
army_descriptors;32;Food;Alimento
army_descriptors;33;Foolish;Necio
army_descriptors;34;Fortunate;Afortunado
army_descriptors;35;Frantic;Frenético
army_descriptors;36;Fresh;Fresco
army_descriptors;37;Frightening;Alarmante
army_descriptors;38;Helpful;Útil
army_descriptors;39;Helpless;Indefenso
army_descriptors;40;Illness;Enfermedad
army_descriptors;41;Lacking;Carente
army_descriptors;42;Large;Grande
army_descriptors;43;Lavish;Prodigar
army_descriptors;44;Lazy;Perezoso
army_descriptors;45;Leadership;Liderazgo
army_descriptors;46;Lethal;Letal
army_descriptors;47;Loud;Alto
army_descriptors;48;Loyal;Leal
army_descriptors;49;Mighty;Poderoso
army_descriptors;50;Mysterious;Misterioso
army_descriptors;51;Normal;Normal
army_descriptors;52;Path;Camino
army_descriptors;53;Persecute;Perseguir
army_descriptors;54;Power;Fuerza
army_descriptors;55;Problems;Problemas
army_descriptors;56;Punish;Castigar
army_descriptors;57;Pursue;Buscar
army_descriptors;58;Quiet;Tranquilo
army_descriptors;59;Ready;Listo
army_descriptors;60;Reassuring;tranquilizador
army_descriptors;61;Recruit;Recluta
army_descriptors;62;Release;Liberar
army_descriptors;63;Riches;Riqueza
army_descriptors;64;Rough;Bruto
army_descriptors;65;Ruin;Ruina
army_descriptors;66;Ruthless;Implacable
army_descriptors;67;Simple;Simple
army_descriptors;68;Skilled;Experto
army_descriptors;69;Slow;Lento
army_descriptors;70;Small;Pequeño
army_descriptors;71;Stalemate;Estancamiento
army_descriptors;72;Start;Comenzar
army_descriptors;73;Stop;Detener
army_descriptors;74;Strange;Extraño
army_descriptors;75;Strong;Fuerte
army_descriptors;76;Struggle;Lucha
army_descriptors;77;Success;Éxito
army_descriptors;78;Suffering;Sufrimiento
army_descriptors;79;Supplies;Suministros
army_descriptors;80;Swift;Rápido
army_descriptors;81;Tactics;Táctica
army_descriptors;82;Take;Llevar
army_descriptors;83;Technology;Tecnología
army_descriptors;84;Tension;Tensión
army_descriptors;85;Testing;Pruebas
army_descriptors;86;Threatening;Amenazante
army_descriptors;87;Tired;Cansado
army_descriptors;88;Travel;Viajar
army_descriptors;89;Triumph;Triunfo
army_descriptors;90;Truce;Tregua
army_descriptors;91;Trust;Confianza
army_descriptors;92;Unequipped;sin equipar
army_descriptors;93;Unexpected;Inesperado
army_descriptors;94;Untrained;Inexperto
army_descriptors;95;Victory;Victoria
army_descriptors;96;Violate;Violar
army_descriptors;97;Waste;Desperdiciar
army_descriptors;98;Weak;Débil
army_descriptors;99;Weapons;Armas
cavern_descriptors;name;Cavern descriptors;Descriptores de cavernas
cavern_descriptors;0;Activity;Actividad
cavern_descriptors;1;Ancient;Antiguo
cavern_descriptors;2;Animals;animales
cavern_descriptors;3;Aromatic;Aromático
cavern_descriptors;4;Art;Arte
cavern_descriptors;5;Beautiful;Hermoso
cavern_descriptors;6;Bizarre;Extraño
cavern_descriptors;7;Bleak;Desolado
cavern_descriptors;8;Blocked;Obstruido
cavern_descriptors;9;Boulder;Roca
cavern_descriptors;10;Bright;Brillante
cavern_descriptors;11;Cliff;Acantilado
cavern_descriptors;12;Climb;Trepar
cavern_descriptors;13;Closed;Cerrado
cavern_descriptors;14;Cold;Frío
cavern_descriptors;15;Collapsed;Colapsado
cavern_descriptors;16;Colorful;Vistoso
cavern_descriptors;17;Cracked;Agrietado
cavern_descriptors;18;Cramped;Estrecho
cavern_descriptors;19;Crawl;Gatear
cavern_descriptors;20;Creature;Criatura
cavern_descriptors;21;Creepy;Espeluznante
cavern_descriptors;22;Crumbling;Desmoronándose
cavern_descriptors;23;Curious;Curioso
cavern_descriptors;24;Damaged;Dañado
cavern_descriptors;25;Dangerous;Peligroso
cavern_descriptors;26;Dark;Oscuro
cavern_descriptors;27;Difficult;Difícil
cavern_descriptors;28;Dirty;Sucio
cavern_descriptors;29;Discouraging;Desalentador
cavern_descriptors;30;Dripping;Goteo
cavern_descriptors;31;Dry;Seco
cavern_descriptors;32;Echo;Eco
cavern_descriptors;33;Elements;Elementos
cavern_descriptors;34;Empty;Vacío
cavern_descriptors;35;Enormous;Enorme
cavern_descriptors;36;Exit;Salida
cavern_descriptors;37;Exotic;Exótico
cavern_descriptors;38;Fall;Caer
cavern_descriptors;39;Flora;Flora
cavern_descriptors;40;Frightening;Alarmante
cavern_descriptors;41;Full;Lleno
cavern_descriptors;42;Fungus;Hongo
cavern_descriptors;43;Good;Bien
cavern_descriptors;44;Hard;Duro
cavern_descriptors;45;Harm;Dañar
cavern_descriptors;46;Harsh;Duro
cavern_descriptors;47;Hole;Agujero
